SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
738,0,0.9,1.0,0,165,16
739,0,1.4,1.2,0,262,7
740,0,0.9,1.0,0,266,7
741,0,1.5,1.2,0,266,7
742,0,1.2,1.1,0,330,22
743,0,1.6,1.2,0,310,22
744,0,1.6,1.3,0,329,7
745,0,2.8,1.7,0,310,22
746,0,1.3,1.1,0,468,14
747,0,1.1,1.0,0,348,14
748,0,1.4,1.2,0,347,14
749,0,1.4,1.2,0,348,14
750,0,1.7,1.3,0,286,14
751,0,1.5,1.2,0,479,14
752,0,1.2,1.1,0,484,3
753,0,2.0,1.4,0,258,19
754,0,8.0,2.8,0,302,22
755,0,5.7,2.4,0,32,16
756,0,1.6,1.3,0,160,16
757,0,1.5,1.2,0,160,16
758,0,1.5,1.2,0,166,16
759,0,1.9,1.4,0,409,4
760,0,1.8,1.3,0,59,4
761,0,1.6,1.3,0,59,4
762,0,1.9,1.4,0,135,4
763,0,1.8,1.3,0,135,4
764,0,7.0,2.7,0,135,4
765,0,4.2,2.1,0,69,18
